time,debt,equity,id,leverage,m10_Household_installments,m11_Corporate_mortgages,m12_Household_mortgages,m13_Corporate_credit_card,m14_Household_credit_card,m15_Corporate_leasing,m16_Household_leasing,m17_Corporate_unsecured_lending,m18_Household_unsecured_lending,m19_Other_credit,m1_South_African_bank_notes_and_subsidiary_coin,m20_Central_and_provincial_government_bonds,m21_Other_public_sector_bonds,m22_Private_sector_bonds,m23_Equity_holdings_in_subsidiaries_and_joint_ventures,m24_Listed_and_unlisted_equities,m25_Securitisation/ asset-backed_securities,m26_Derivative_instruments,m27_Treasury_bills_SA_Reserve_Bank_bills_Land_Bank_bills,m28_Other_investments_less_impairments,m29_Non_financial_assets,m2_Gold_coin_and_bullion,m3_Domestic_currency_deposits_with_SA_Reserve_Bank,m4_SA_Interbank,m5_Rand_Deposits_to_and_loans_to_foreign_banks,m6_Loans_granted_under_repo_agreement,m7_Foreign_currency_loans_and_advances,m8_Redeemable_preference_shares,m9_Corporate_installments,month,name,time,total_assets,year
2015-12-01,1127327864000.0,86200249000.0,A,13.078011688806143,0.024844190816039217,0.06950450022248475,0.23155126361707948,0.002780949995181529,0.021301928421002307,0.0014847558789105697,0.0001761549631277475,0.1146448973943136,0.024744282953418482,0.03322135974282122,0.009223661883142546,0.04125854231446223,0.004661724717703346,0.012338288532092704,0.00020170690516174304,0.012994057435569273,0.0029398074603979116,0.0839139051737815,0.0,0.03303525362992559,0.03293041798694613,0.0,0.015297564021081726,0.010719721167267264,0.004058569346056839,0.03594145165057252,0.12918276084470076,0.0170625845237423,0.029985698403016726,12,THE STANDARD BANK OF S A LTD ,2015-12-01,1213528113000.0,2015
2015-12-01,869270227000.0,57255883000.0,B,15.182199303432277,0.05061839865473408,0.059504091039593046,0.23197276221390026,0.0007176548969569784,0.03473447283638882,0.0027998228781701577,0.0004969962476286826,0.1546400985936597,0.019255801652475826,0.049808243396400345,0.009060957818015511,0.07644440478854934,0.00262516724973892,0.006278920731116795,0.0004941393394731207,0.002528112240679326,0.0,0.08607770157713095,0.0,0.017874667342078467,0.03545113369767852,0.0,0.018843415001008446,0.013720954933477266,0.0038508963336176248,0.044935741746123053,0.042649035546337706,0.013269209434367693,0.021347199810699345,12,ABSA BANK LTD ,2015-12-01,926526110000.0,2015
2015-12-01,904393561840.0,75526054370.0,C,11.974590350098278,0.09146843047681398,0.026841677331854143,0.17694836668041744,0.001249067994688159,0.021282073717672288,0.0033745565301795655,0.002005351365002952,0.15379433162059214,0.03583180320962029,0.07003634624035492,0.007950620735580168,0.05275637853734528,0.004710007824679261,0.0326757725528423,3.9369555789099535e-07,0.01539954766703854,0.010081217475782542,0.0701095144357992,0.0,0.008637955399408261,0.023642434477566615,0.0,0.01906165491600468,0.008130261531707147,0.001905059485575025,0.04124341701157864,0.047400847855971276,0.04485831486782134,0.02860459636254585,12,FIRSTRAND BANK LIMITED ,2015-12-01,979919616210.0,2015
2015-12-01,751035802000.0,57683474000.0,D,13.01994748097176,0.09553216549447438,0.15684107983284518,0.16591061507264995,0.0008416653561686638,0.016500755387581157,0.0016089983678996727,0.0001878216631459827,0.18513342872836347,0.02271569811309024,0.043889510144842235,0.007971203565186678,0.030696660317900002,0.006775436350145426,0.009527234233277133,0.0028986869249595323,0.0017331873202444082,0.0,0.03642609341083854,0.0,0.049184296742850374,0.02694725545178947,0.0,0.020624358084580793,0.01881724770901622,0.0006311176365563062,0.024943802532992415,0.04975330630148116,0.0014967319704517641,0.022411643286668823,12,NEDBANK LTD ,2015-12-01,808719276000.0,2015
2015-12-01,352780579000.0,24265229000.0,E,14.538522550106574,0.005920439762798159,0.15732475626058476,0.14029889667862613,0.00031828758505044147,0.0033181246685067916,0.0016163659307508707,0.0,0.1129241248243128,0.005387836044081318,0.09309475708825608,2.1217581018119737e-07,0.04523421715052136,0.011212579212092502,0.06714031397707433,0.004386180566192157,0.034310048517208154,0.0,0.05424699204122436,0.0,0.049141392259846074,0.006366107095490883,0.0,0.018840058238122466,0.014957697089798444,0.0,0.060477839709922356,0.08496631240900493,0.02677308369180149,0.0017433770229229627,12,INVESTEC BANK LTD ,2015-12-01,377045808000.0,2015
2015-12-01,48913724000.0,13056412000.0,F,3.7463373551631185,0.0,0.0,0.0,0.0,2.43665759321002e-06,0.0,0.0,0.00892747772777968,0.6506774916659452,0.0,0.04480488867742502,0.0,0.0,0.0,0.0,0.0,0.0,0.003971961655400621,0.0,-0.013821028467987039,0.029248427488499096,0.0,0.013170715216289266,0.26301762937905493,0.0,0.0,0.0,0.0,0.0,12,CAPITEC BANK ,2015-12-01,61970136000.0,2015
2015-12-01,71388112090.0,5123291030.0,G,13.934034133914896,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12141606925480208,0.0,0.0842652073690006,2.49479152408988e-05,0.20048753681776682,0.0,0.0,0.0,0.0,0.0,0.27861175159167567,0.0,0.016120103274875085,0.008866162589334042,0.0,0.008090192765504206,0.0030198629299428275,0.0007957616448950569,0.04367684624419681,0.23462555760276588,0.0,0.0,12,CITIBANK N.A ,2015-12-01,76511403120.0,2015
2015-12-01,45886507000.0,3919312000.0,H,11.707796419371563,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10222293503496048,0.0,0.02916705375329738,0.0,0.01991861633677784,0.0,0.0,0.0,0.0,0.0,0.0485579004332807,0.0,0.39596937458251613,0.015233159804078314,0.0,0.0191513365135106,0.05382881064559946,0.04818714054275465,0.041145814708919856,0.2266178576443046,0.0,0.0,12,THE HONGKONG AND SHANGHAI BANKING CORPORATION LIMITED - JOHANNESBURG BRANCH ,2015-12-01,49805819000.0,2015
2015-12-01,34731129000.0,3688896000.0,I,9.415046940873367,0.0,0.0,0.0019904983408783133,0.0,0.0,0.0,0.0,0.04393802221950547,0.0,0.12554613769532227,2.9932305877869373e-06,0.044836277704854294,0.0,0.0,0.0,0.0,0.0,0.134191758896994,0.0,0.21257561843983086,0.05811700757003632,0.0,0.016836661775380846,0.16914074526808637,0.004200491582163646,0.0,0.1886237872763598,0.0,0.0,12,STANDARD CHARTERED BANK ,2015-12-01,38420025000.0,2015
2015-12-01,50419037000.0,7466274000.0,J,6.752904728650462,3.472383520579167e-05,0.0,0.0,0.0,0.15956175824986066,0.0,0.0,0.03274903368835662,0.8992711466990304,0.0,0.00037429184754660816,0.00724102527496138,0.02638674602612051,0.0,0.0,0.0,0.0,0.06542379983066861,0.0,-0.3162812582971179,0.06892173387476488,0.0,0.02176356969041766,0.03455342928018474,0.0,0.0,0.0,0.0,0.0,12,AFRICAN BANK LIMITED ,2015-12-01,57885311000.0,2015
